Label,Date,ID_main,youTube,timeStamp,Speaker,French,party,seconds,english,floor,preprocessed,svm_imdb,fasttext_imbd,fasttext_imbdWeight,svm_stanford,fasttext_stanford,fasttext_stanfordWeights,liwc,vader,svm_imdb_probability
280,2017-05-02,2017 05 02 9,https://youtu.be/TZ_RSk8iY2I,45M 17S,"Hon. Jim Carr (Minister of Natural Resources, Lib.)",0,LIB,10.24,"We are taking it seriously, across the country, to do whatever we possibly can to soften the blow of these punitive and unwelcome tariffs.","We are taking it seriously, across the country, to do whatever we possibly can to soften the blow of these punitive and unwelcome tariffs.", take seriously country possibly soften blow punitive unwelcome tariff,Negative,Negative,-0.66650039,Negative,Negative,-0.62237066,1.1363636363636365,1.1414999999999997,0.31405955179779493
281,2017-04-12,2017 04 12 0,https://youtu.be/324sj38YO8o,1M 8S,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",1,LIB,4.23,We will continue to make choices that will help people across the country.,Nous allons continuer de faire des choix qui vont aider les gens partout au pays., continue choice help people country,Positive,Positive,0.99060524,Positive,Positive,0.73039615,3.181818181818182,7.009499999999999,0.6884241514466067
282,2017-04-12,2017 04 12 1,https://youtu.be/M2138AMEms8,7M 21S,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",1,LIB,4.5,We will not make inappropriate use of omnibus bills like the former government did.,Nous n'abuserons pas des projets de loi omnibus comme l'ancien gouvernement le faisait., inappropriate use omnibus bill like government,Positive,Negative,-0.64605159,Positive,Negative,-0.52108526,3.181818181818182,6.806,0.5714229858284203
283,2017-04-12,2017 04 12 2,https://youtu.be/9cClH0m723Q,10M 10S,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",0,LIB,32.1,"Mr. Speaker, we are proud to be following through on our commitment to strengthen the independence of the parliamentary budget officer; to make him or her a full officer of Parliament, accountable to the Speakers of the House and the Senate and not to the librarian of Parliament; to give him or her greater tools to access information to answer the questions parliamentarians may ask; and even, at the request of political parties, to evaluate political platforms to make sure Canadians know what they are getting when they vote for someone.","Mr. Speaker, we are proud to be following through on our commitment to strengthen the independence of the parliamentary budget officer; to make him or her a full officer of Parliament, accountable to the Speakers of the House and the Senate and not to the librarian of Parliament; to give him or her greater tools to access information to answer the questions parliamentarians may ask; and even, at the request of political parties, to evaluate political platforms to make sure Canadians know what they are getting when they vote for someone.",mr. speaker proud follow commitment strengthen independence parliamentary budget officer officer parliament accountable speaker house senate librarian parliament great tool access information answer question parliamentarian ask request political party evaluate political platform sure canadians know get vote,Positive,Positive,0.88056833,Positive,Positive,0.8591305,3.491735537190083,9.721,0.888847887924476
284,2017-04-12,2017 04 12 3,https://youtu.be/LDvBS9NMEQY,21M 52S,"Mrs. Kelly Block (Carlton Trail—Eagle Creek, CPC)",0,CPC,7.36,To say that Canadians are shocked that these employees were previously cleared to work in secured areas would be an understatement.,To say that Canadians are shocked that these employees were previously cleared to work in secured areas would be an understatement.,to canadians shock employee previously clear work secure area understatement,Negative,Positive,0.57297707,Negative,Negative,-0.64743918,3.181818181818182,6.7,0.5344971440066639
285,2017-04-12,2017 04 12 4,https://youtu.be/D-FQvIZ_tiE,25M 8S,"Ms. Tracey Ramsey (Essex, NDP)",0,NDP,11.37,"Yesterday at the trade committee, the Minister of International Trade admitted that he has not had any talks with China about steel dumping, despite having embarked on a potential free trade agreement with China.","Yesterday at the trade committee, the Minister of International Trade admitted that he has not had any talks with China about steel dumping, despite having embarked on a potential free trade agreement with China.",yesterday trade committee    minister international trade    admit talk china steel dumping despite have embark potential free trade agreement china,Positive,Negative,-0.6806128,Positive,Positive,0.83954108,4.1492628992629,8.591999999999999,0.6530542031111607
286,2017-04-12,2017 04 12 5,https://youtu.be/czn9bHoXWVE,28M 60S,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",0,LIB,23.43," Again, this government remains focused on the things Canadians are talking to us about every day, right across the country: whether it is how we will secure retirement for their aging parents, we talk about strengthening the CPP and increasing the GIS; whether it is giving opportunities to young people, we talk about increasing the Canada student grant by 50% and giving young people better access to post-secondary education"," Again, this government remains focused on the things Canadians are talking to us about every day, right across the country: whether it is how we will secure retirement for their aging parents, we talk about strengthening the CPP and increasing the GIS; whether it is giving opportunities to young people, we talk about increasing the Canada student grant by 50% and giving young people better access to post-secondary education",   again government remain focused thing canadians talk day right country secure retirement age parent talk strengthen cpp increase gis give opportunity young people talk increase canada student grant 50 give young people good access post secondary education,Positive,Positive,0.7870751,Positive,Positive,0.54479176,3.5517970401691334,9.762,0.5537601974588566
287,2017-04-12,2017 04 12 6,https://youtu.be/Zj3lpzyBABM,29M 37S,"Mr. Scott Reid (Lanark—Frontenac—Kingston, CPC)",0,CPC,8.17,"  Yesterday, the Minister of Finance tabled a 308 page budget implementation act, which makes amendments to more than 20 different statutes.","  Yesterday, the Minister of Finance tabled a 308 page budget implementation act, which makes amendments to more than 20 different statutes.",   yesterday    minister finance    table 308 page budget implementation act make amendment 20 different statute,Positive,Positive,0.83579469,Positive,Negative,-0.54080582,3.181818181818182,5.0,0.6983808649643893
288,2017-04-12,2017 04 12 7,https://youtu.be/xM55RKoCdB0,32M 15S,"Ms. Rachel Blaney (North Island—Powell River, NDP)",0,NDP,6.4,Will the government leverage our combined buying power so that together we can negotiate lower drug prices?,Will the government leverage our combined buying power so that together we can negotiate lower drug prices?,will government leverage combined buying power negotiate low drug price,Negative,Negative,-0.63672614,Negative,Negative,-0.55435163,2.5096030729833547,3.634,0.3675843840576526
289,2017-04-12,2017 04 12 8,https://youtu.be/abMj1RLzvfU,35M 46S,"Hon. Peter Kent (Thornhill, CPC)",0,CPC,4.3,    The government has lamely suggested it needs more time to study the report.,    The government has lamely suggested it needs more time to study the report.,     the government lamely suggest need time study report,Positive,Positive,0.72444773,Positive,Negative,-0.66945702,1.507177033492823,2.706,0.5222055534572914
290,2017-04-12,2017 04 12 9,https://youtu.be/tTBtUK4ZslA,37M 52S,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",0,LIB,14.02,We know that Canadian pressure and Canada being part of UNRWA allow us to ensure that the help is going to where it is needed and it is not creating negative consequences for Israel or for anyone else.,We know that Canadian pressure and Canada being part of UNRWA allow us to ensure that the help is going to where it is needed and it is not creating negative consequences for Israel or for anyone else., know canadian pressure canada unrwa allow ensure help go need create negative consequence israel,Positive,Positive,0.95363802,Positive,Negative,-0.69088066,3.181818181818182,6.7,0.6378856357819881
291,2017-04-07,2017 04 07 0,https://youtu.be/f8yrhIc7dW0,15M 35S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",0,LIB,8.04,"Mr. Speaker, this government was elected on a commitment to Canadians to modernize the way this place worked and to bring it into the 21st century.","Mr. Speaker, this government was elected on a commitment to Canadians to modernize the way this place worked and to bring it into the 21st century.",mr. speaker government elect commitment canadians modernize way place work bring 21st century,Positive,Positive,0.93056327,Positive,Positive,0.66137666,3.181818181818182,6.909,0.5424884793764336
292,2017-04-07,2017 04 07 1,https://youtu.be/riwlgsjO6bo,19M 45S,"Hon. Diane Finley (Haldimand—Norfolk, CPC)",0,CPC,11.1,This is exactly what the Liberals are doing by giving $373 million of taxpayer money to Bombardier so it can pad its pockets with bonuses.,This is exactly what the Liberals are doing by giving $373 million of taxpayer money to Bombardier so it can pad its pockets with bonuses.,this exactly liberals give $ 373 million taxpayer money bombardier pad pocket bonus,Negative,Negative,-0.96801275,Negative,Positive,0.52749091,3.181818181818182,7.7115,0.2701250489898634
293,2017-04-07,2017 04 07 2,https://youtu.be/PH1f3_O3ExA,19M 57S,"Hon. Diane Finley (Haldimand—Norfolk, CPC)",0,CPC,9.4," If the Liberals will not demand accountability from Bombardier executives, how can taxpayers believe they will demand accountability for the loan?"," If the Liberals will not demand accountability from Bombardier executives, how can taxpayers believe they will demand accountability for the loan?",   if liberals demand accountability bombardier executive taxpayer believe demand accountability loan,Negative,Negative,-0.84741145,Negative,Negative,-0.59162062,3.6543654365436544,3.75,0.38221214239292306
294,2017-04-07,2017 04 07 3,https://youtu.be/AaGG32dQ2Y0,24M 28S,"Hon. Catherine McKenna (Minister of Environment and Climate Change, Lib.)",0,LIB,6.13,"Mr. Speaker, unlike the party opposite, we understand that the environment and the economy go together. ","Mr. Speaker, unlike the party opposite, we understand that the environment and the economy go together. ",mr. speaker unlike party opposite understand environment economy   ,Positive,Positive,0.98620474,Positive,Positive,0.60722333,3.8941655359565814,7.009499999999999,0.8277647371193528
295,2017-04-07,2017 04 07 4,https://youtu.be/FNsjstk4czY,25M 43S,"Hon. Carolyn Bennett (Minister of Indigenous and Northern Affairs, Lib.)",1,LIB,9.27," Mr. Speaker, the senator's recurring comments about residential schools are ill-informed, hurtful, and quite simply false."," Monsieur le Président, les commentaires récurrents de la sénatrice concernant les pensionnats indiens sont mal informés, blessants et tout simplement faux.",   mr. speaker senator 's recur comment residential school ill informed hurtful simply false,Negative,Negative,-0.71909803,Negative,Negative,-0.71951747,3.181818181818182,1.3245,0.2417756019460236
296,2017-04-07,2017 04 07 5,https://youtu.be/Ar3RdUr93Cg,31M 12S,"Ms. Kim Rudd (Parliamentary Secretary to the Minister of Natural Resources, Lib.)",0,LIB,9.05,"Mr. Speaker, Canada's forestry sector is very important to our communities, and a stable and predictable market helps promote economic development and good jobs. ","Mr. Speaker, Canada's forestry sector is very important to our communities, and a stable and predictable market helps promote economic development and good jobs. ",mr. speaker canada 's forestry sector important community stable predictable market help promote economic development good job   ,Negative,Positive,0.70152783,Negative,Positive,0.72721207,4.291754756871037,9.403500000000001,0.4299245198884055
297,2017-04-07,2017 04 07 6,https://youtu.be/gpVAkESL1XE,37M 56S,"M. Bernard Généreux (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup, PCC)",1,CPC,9.26,"Mr. Speaker, this week, Clement Masse, president of the Barreau du Bas-Saint-Laurent-Gaspesie-Îles-de-la-Madeleine expressed his concern about the lack of Quebec Superior Court judges.","Monsieur le Président, cette semaine, Me Clément Massé, bâtonnier du Barreau du Bas-Saint-Laurent-Gaspésie-Îles-de-la-Madeleine, a exprimé ses inquiétudes par rapport au manque d'effectifs à la Cour supérieure du Québec.",mr. speaker week clement masse president barreau du bas saint laurent gaspesie îles de la madeleine express concern lack quebec superior court judge,Negative,Negative,-0.80799872,Negative,Positive,0.58078617,3.5042997542997547,6.48,0.30795496821141616
298,2017-04-07,2017 04 07 7,https://youtu.be/CnwVGVybPsQ,38M 26S,"Mr. Bernard Généreux (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup, CPC)",1,CPC,17.43,"Given the already unacceptable delays in the court system, will the Minister of Justice get out of her bubble in Ottawa and Vancouver and quickly review the selection process to fill the empty positions in our regions, or would she rather see dangerous criminals released because of her failure to act, as we saw yesterday in Quebec?","Ayant des délais judiciaires déjà inacceptables, la ministre de la Justice peut-elle sortir de sa bulle d'Ottawa et de Vancouver et vite revoir son processus de sélection pour combler le vide dans nos régions, ou bien préfère-t-elle voir des criminels dangereux relâchés en raison de son incapacité d'agir, comme on l'a vu hier au Québec?",give unacceptable delay court system    minister justice    bubble ottawa vancouver quickly review selection process fill position region dangerous criminal release failure act see yesterday quebec,Positive,Positive,0.62838477,Positive,Negative,-0.80813396,2.939547761882787,0.5330000000000001,0.7303770846591243
299,2017-04-07,2017 04 07 8,https://youtu.be/76JE9ewU5HE,44M 13S,"Mr. Martin Shields (Bow River, CPC)",0,CPC,9.2,"Eighty-two per cent of grain farmers depend on this tax deferral to help them mitigate uncertainties in grain farming, which can change greatly from year to year.","Eighty-two per cent of grain farmers depend on this tax deferral to help them mitigate uncertainties in grain farming, which can change greatly from year to year.",eighty cent grain farmer depend tax deferral help mitigate uncertainty grain farming change greatly year year,Positive,Positive,0.92809165,Positive,Positive,0.76943135,4.93327773144287,5.385999999999999,0.6520228047728477
300,2017-04-07,2017 04 07 9,https://youtu.be/P2j_ZUYIpRU,49M 49S,"L’hon. Diane Lebouthillier (ministre du Revenu national, Lib.)",1,LIB,9.4,Our government increased the basic amount and the additional residency amount used in the calculation of the northern residence tax deduction.,Notre gouvernement a effectivement augmenté le montant de base et le montant additionnel pour la résidence relatifs au calcul de la déduction pour les habitants des régions éloignées., government increase basic additional residency calculation northern residence tax deduction,Positive,Positive,0.6541177,Positive,Negative,-0.62060255,3.181818181818182,6.591,0.5222055534572914
301,2017-03-23,2017 03 23 0,https://youtu.be/9BKt07D2Mlk,6M 1S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",1,LIB,6.13,We are trying to encourage a debate on how to improve accountability in the House.,Nous essayons d'encourager un débat sur la façon d'améliorer la responsabilité à la Chambre. , try encourage debate improve accountability house,Negative,Negative,-0.98716313,Negative,Positive,0.78847659,4.136363636363637,8.6755,0.291264806907544
302,2017-03-23,2017 03 23 1,https://youtu.be/SBDTLOYaI4o,6M 13S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",1,LIB,5.59,"Let there be no mistake: our Prime Minister will be more accountable, not less accountable.","Ne nous méprenons pas: notre premier ministre sera plus responsable, pas moins responsable.",let mistake    prime minister    accountable accountable,Negative,Negative,-0.95693892,Negative,Positive,0.89762086,3.181818181818182,3.3,0.1655913691383197
303,2017-03-23,2017 03 23 2,https://youtu.be/BPPLu9fUUXI,7M 15S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",0,LIB,9.13,"Mr. Speaker, the discussion paper that I shared with members of Parliament as well as Canadians was to encourage us to have a conversation, a discussion. ","Mr. Speaker, the discussion paper that I shared with members of Parliament as well as Canadians was to encourage us to have a conversation, a discussion. ",mr. speaker discussion paper  share member parliament canadians encourage conversation discussion   ,Negative,Negative,-0.69225627,Negative,Positive,0.93962634,4.136363636363637,8.352500000000001,0.4012686075920597
304,2017-03-23,2017 03 23 3,https://youtu.be/cFrif7-ACXs,21M 37S,"Mr. Marc Miller (Parliamentary Secretary to the Minister of Infrastructure and Communities, Lib.)",1,LIB,15.53,"Mr. Speaker, in budget 2017 we propose to help make communities healthier and more inclusive, invest in faster and more efficient public transit, and build more cultural and recreational centres and affordable housing.","Monsieur le Président, dans le budget de 2017, nous proposons de contribuer à rendre les collectivités plus saines et plus inclusives, d'investir dans les transports en commun plus rapides et plus efficaces et à construire davantage de centres culturels récréatifs et de logements abordables.",mr. speaker budget 2017 propose help community healthy inclusive invest fast efficient public transit build cultural recreational centre affordable housing,Positive,Positive,0.59456033,Positive,Positive,0.77584702,4.105571847507332,9.01,0.53331068923095
305,2017-03-23,2017 03 23 4,https://youtu.be/pc3lkUQfjIA,22M 27S,"M. Luc Berthold (Mégantic—L'Érable, PCC)",1,CPC,10.42,"The Leader of the Government in the House of Commons claims she wants to discuss this, but at the same time has ordered her MPs to pass these changes in committee in a backroom on Parliament Hill.","La leader du gouvernement à la Chambre des communes prétend vouloir converser, mais elle ordonne en même temps à ses députés d'adopter ces changements en comité dans une salle obscure du Parlement.",the    leader government house commons    claim want discuss time order mp pass change committee backroom parliament hill,Negative,Negative,-0.50524837,Negative,Positive,0.63657475,3.5762584522915106,5.385999999999999,0.36137601307266404
306,2017-03-23,2017 03 23 5,https://youtu.be/Q1ts7hRDXVw,24M 38S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",1,LIB,8.03,Our government knows that the work members do here in the House and in their ridings is important. , C'est notre gouvernement qui reconnaît l'importance du travail que font les députés à la Chambre des communes et dans leur circonscription., government know work member house riding important   ,Positive,Positive,0.9979015,Positive,Positive,0.65489328,4.065656565656566,6.0115,0.7592426427805152
307,2017-03-23,2017 03 23 6,https://youtu.be/CvoJ14xG9Hg,26M 56S,"Hon. Candice Bergen (House Leader of the Official Opposition, CPC)",0,CPC,9.19,"I know there are some hard-working people with integrity on that side. Will any of them stand up, show some independence, and say no to the Prime Minister and no to the House leader, who has completely botched this for all of you?","I know there are some hard-working people with integrity on that side. Will any of them stand up, show some independence, and say no to the Prime Minister and no to the House leader, who has completely botched this for all of you?", know hard work people integrity will stand independence    prime minister       house leader completely botch,Positive,Positive,0.95414424,Positive,Positive,0.66287053,4.049586776859504,6.48,0.662036256878084
308,2017-03-23,2017 03 23 7,https://youtu.be/Ajvtdeh1Ipo,31M 31S,"Hon. Bill Morneau (Minister of Finance, Lib.)",1,LIB,7.08,We will consider ways of providing the necessary training for the good jobs of the future.,Nous allons considérer les façons dont nous pouvons offrir la formation nécessaire pour les bons emplois de l'avenir., consider way provide necessary training good job future,Positive,Positive,0.9999522,Positive,Positive,0.94195098,4.03409090909091,7.202,0.9708148815042345
309,2017-03-23,2017 03 23 8,https://youtu.be/5pMGSZvwwfk,32M 36S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",0,LIB,2.52,She has seen a lot of the stuff that has taken place here. ,She has seen a lot of the stuff that has taken place here. , see lot stuff take place   ,Positive,Positive,0.99890178,Positive,Positive,0.67629313,3.181818181818182,5.0,0.5763975744894821
310,2017-03-23,2017 03 23 9,https://youtu.be/z07djd1xK_Q,41M 41S,"Mr. Blaine Calkins (Red Deer—Lacombe, CPC)",0,CPC,9.4,"Even the most out-of-touch Hollywood celebrity would blush at this type of spending, and 17 hundred bucks to feed a family of five on a three hour flight.","Even the most out-of-touch Hollywood celebrity would blush at this type of spending, and 17 hundred bucks to feed a family of five on a three hour flight.",even touch hollywood celebrity blush type spending 17 buck feed family hour flight,Negative,Positive,0.52784741,Negative,Positive,0.92049867,4.3458980044345905,5.0,0.48564857567698405
311,2017-03-20,2017 03 20 0,https://youtu.be/XcQdZSQxEqw,3M 27S,"Hon. Candice Bergen (Portage—Lisgar, CPC)",0,CPC,8.51,"They are shutting down debate, they are ramming through legislation, and we have a Prime Minister who does not want to answer questions directly on his ethical lapses.","They are shutting down debate, they are ramming through legislation, and we have a Prime Minister who does not want to answer questions directly on his ethical lapses.", shut debate ram legislation    prime minister    want answer question directly ethical lapse,Negative,Negative,-0.7406565,Negative,Positive,0.61527956,3.181818181818182,7.786999999999999,0.349250461617705
312,2017-03-20,2017 03 20 1,https://youtu.be/lTtUuTh5M6g,6M 11S,"Hon. Thomas Mulcair (Outremont, NDP)",0,NDP,4.57,Their plan also seems to include the privatization of Canadian airports. ,Their plan also seems to include the privatization of Canadian airports. , plan include privatization canadian airport   ,Positive,Positive,0.90007508,Positive,Negative,-0.66032207,3.181818181818182,5.0,0.6907108960438247
313,2017-03-20,2017 03 20 2,https://youtu.be/t17hLQEFcFE,10M 44S,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",1,LIB,13.35,"The fact is that, on Wednesday, everyone will see a budget focused on the growth of the middle class and on the assistance that Canadians so sorely need after 10 years of Conservative government.","La réalité, c'est que mercredi, tout le monde va voir un budget axé sur la croissance de la classe moyenne et sur l'aide dont les Canadiens ont tant besoin après 10 ans de gouvernement conservateur.",the fact wednesday budget focus growth middle class assistance canadians sorely need 10    year conservative government,Positive,Positive,0.77768344,Positive,Negative,-0.6975944,3.181818181818182,6.909,0.6053969693404406
314,2017-03-20,2017 03 20 3,https://youtu.be/ckzZHWcvzFI,20M 0S,"Hon. Ginette Petitpas Taylor (Parliamentary Secretary to the Minister of Finance, Lib.)",1,LIB,4.16,"Mr. Speaker, my thanks to my colleague for his question."," Monsieur le Président, je tiens à remercier mon collègue de sa question.",mr.    speaker thank colleague question,Positive,Positive,0.85708791,Positive,Positive,0.98174924,5.62937062937063,6.806,0.6109545225342188
315,2017-03-20,2017 03 20 4,https://youtu.be/FkAocP2tjFQ,35M 19S,"L’hon. Mélanie Joly (ministre du Patrimoine canadien, Lib.)",1,LIB,13.21,"  Of course, we launched public consultations last year to consider all the repercussions that digital services have on the entire Canadian cultural ecosystem.","Bien entendu, nous avons lancé des consultations publiques au cours de la dernière année pour repenser toutes les répercussions qu'ont les services numériques sur l'entièreté de l'écosystème dans le domaine culturel canadien.",   of course launch public consultation year consider repercussion digital service entire canadian cultural ecosystem,Negative,Positive,0.67548668,Negative,Positive,0.71809393,3.181818181818182,5.0,0.507725552728878
316,2017-03-20,2017 03 20 5,https://youtu.be/WTGV13YNqU0,37M 53S,"Mr. Glen Motz (Medicine Hat—Cardston—Warner, CPC)",0,CPC,10.15,Last week it was revealed that the Prime Minister also used the non-partisan Privy Council Office and its staff to support those same campaign events.,Last week it was revealed that the Prime Minister also used the non-partisan Privy Council Office and its staff to support those same campaign events.,last week reveal prime minister non partisan privy council office staff support campaign event,Positive,Positive,0.74051678,Positive,Positive,0.71577352,3.689555125725339,7.009499999999999,0.5654450318035062
317,2017-03-20,2017 03 20 6,https://youtu.be/HwmcODHywJY,38M 5S,"Mr. Glen Motz (Medicine Hat—Cardston—Warner, CPC)",0,CPC,9.47,Will the Prime Minister confirm that he is using Privy Council Office resources to again help campaign in the upcoming five by-elections?,Will the Prime Minister confirm that he is using Privy Council Office resources to again help campaign in the upcoming five by-elections?,will    prime minister    confirm privy council office resource help campaign upcoming election,Positive,Positive,0.88440585,Positive,Positive,0.87487161,3.181818181818182,7.009499999999999,0.573943351270654
318,2017-03-20,2017 03 20 7,https://youtu.be/cZ4rv395iuQ,39M 17S,"Ms. Anju Dhillon (Dorval—Lachine—LaSalle, Lib.)",1,LIB,9.19,Can the Minister of International Development and La Francophonie inform the House of the details of this major announcement?,Est-ce que la ministre du Développement international et de la Francophonie peut informer la Chambre des détails de cette importante annonce?,can    minister international development la francophonie    inform house detail major announcement,Negative,Negative,-0.86080164,Negative,Positive,0.82075554,3.181818181818182,5.0,0.552890249224738
319,2017-03-20,2017 03 20 8,https://youtu.be/0qJvOlW1o5c,43M 38S,"M. Pierre Paul-Hus (Charlesbourg—Haute-Saint-Charles, PCC)",1,CPC,16.41,"Now, Jean Boyle, a former general and the former vice president of international business at Boeing when the Super Hornet was being developed, is saying that NORAD will use its best planes, either the F-35 or the F-22, and not fourth generation jets like the Super Hornet, to protect the North.","Maintenant, c'est Jean Boyle, un ancien général et vice-président responsable des affaires internationales de Boeing au moment où le Super Hornet était en développement, qui estime que le NORAD utilisera ses meilleurs appareils, soit le F-35 ou le F-22, et non des jets de quatrième génération comme le Super Hornet, pour assurer la protection du Nord.",now jean boyle general vice president international business boeing super hornet develop say norad use good plane f-35 f-22 fourth generation jet like super hornet protect north,Positive,Positive,0.71842718,Positive,Positive,0.61190689,3.721109399075501,9.7065,0.7137477880913893
320,2017-03-20,2017 03 20 9,https://youtu.be/-6SUWCW3ZAU,44M 30S,"Mr. Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères, BQ)",1,BQ,11.3,"Mr. Speaker, today in the Superior Court of Quebec begins the court challenge of Bill 99, the law that recognizes the right of the people of Quebec to independence.","Monsieur le Président, aujourd'hui commence à la Cour supérieure du Québec la contestation judiciaire de la loi 99, la loi qui reconnaît au peuple québécois son droit à l'indépendance.",mr. speaker today superior court quebec begin court challenge bill    99 law recognize right people quebec independence,Positive,Positive,0.99420565,Positive,Positive,0.63727432,4.385026737967915,7.929500000000001,0.9631179385976706
321,2017-03-08,2017 03 08 0,https://youtu.be/648gPxRj1Mo,12M 56S,"Hon. Bardish Chagger (Leader of the Government in the House of Commons and Minister of Small Business and Tourism, Lib.)",0,LIB,5.39,This government has committed to making more opportunities for under-represented groups. ,This government has committed to making more opportunities for under-represented groups. ,this government commit make opportunity represent group   ,Positive,Positive,0.81734198,Positive,Positive,0.80244315,4.0047021943573675,8.062000000000001,0.5222055534572914
322,2017-03-08,2017 03 08 1,https://youtu.be/E84wE2PZnkA,18M 52S,"Ms. Hélène Laverdière (Laurier—Sainte-Marie, NDP)",1,NDP,7.15,We all know that women do not have equal rights in Saudi Arabia. ,Nous savons tous et toutes que les femmes ne disposent pas de droits égaux en Arabie saoudite. , know woman equal right saudi arabia   ,Positive,Positive,0.97850645,Positive,Positive,0.64981139,3.181818181818182,5.0,0.5222055534572914
323,2017-03-08,2017 03 08 2,https://youtu.be/ZC3NxGQxst4,22M 44S,"Ms. Marilyn Gladu (Sarnia—Lambton, CPC)",0,CPC,2.25,His ministers are now taking their cue from him.,His ministers are now taking their cue from him., minister take cue,Negative,Positive,0.71551949,Negative,Positive,0.75304961,3.181818181818182,5.0,0.31707959566388455
324,2017-03-08,2017 03 08 3,https://youtu.be/ztWykYSXvtE,24M 28S,"L’hon. Bardish Chagger (leader du gouvernement à la Chambre des communes et ministre de la Petite Entreprise et du Tourisme, Lib.)",1,LIB,10.01,"We are going to keep working for Canadians every day, and I encourage the member to work with us so that we can get more done together.","Nous allons continuer à travailler pour les Canadiens et les Canadiennes chaque jour, et j'encourage la députée à travailler avec nous pour que nous puissions mieux travailler ensemble.", go work canadians day  encourage member work,Positive,Positive,0.96225035,Positive,Negative,-0.70662248,3.181818181818182,7.553000000000001,0.8308161515067068
325,2017-03-08,2017 03 08 4,https://youtu.be/6RFAuwa7dNs,24M 57S,"Ms. Georgina Jolibois (Desnethé—Missinippi—Churchill River, NDP)",0,NDP,8.17,"Worse, northern families do not have access to proper information due to unreliable Internet and other crucial services.","Worse, northern families do not have access to proper information due to unreliable Internet and other crucial services.",bad northern family access proper information unreliable internet crucial service,Negative,Negative,-0.99463034,Negative,Negative,-0.92612112,2.5925925925925926,2.2885,0.1848022867230844
326,2017-03-08,2017 03 08 5,https://youtu.be/oWADVxIR0bc,35M 59S,"Hon. Michelle Rempel (Calgary Nose Hill, CPC)",1,CPC,9.06,"Mr. Speaker, we know that the funding to help many Syrian refugees resettle runs out this month. ","Monsieur le Président, nous savons que, ce mois-ci, le financement reçu par de nombreux réfugiés syriens pour leur réinstallation est épuisé.",mr. speaker know funding help syrian refugee resettle run month   ,Negative,Positive,0.90021944,Negative,Negative,-0.57559973,3.9049586776859506,7.009499999999999,0.3543287209859233
327,2017-03-08,2017 03 08 6,https://youtu.be/zDh67tQgWis,37M 28S,"Hon. Michelle Rempel (Calgary Nose Hill, CPC)",0,CPC,8.31,How much will the government pay in Canadian taxpayers' dollars to support its ill-fated refugee plan?,How much will the government pay in Canadian taxpayers' dollars to support its ill-fated refugee plan?,how government pay canadian taxpayer dollar support ill fated refugee plan,Negative,Negative,-0.94862974,Negative,Negative,-0.60034305,3.8267813267813273,4.36,0.09847906162014068
328,2017-03-08,2017 03 08 7,https://youtu.be/Z2uuXTXhGeg,39M 36S,"Ms. Linda Lapointe (Rivière-des-Mille-Îles, Lib.)",1,LIB,9.47,"Mr. Speaker, on March 2, the Minister of International Development and La Francophonie said, “Sexual and reproductive health and rights are human rights.","Monsieur le Président, le 2 mars, la ministre du Développement international et de la Francophonie déclarait: « La santé et les droits sexuels et reproductifs sont un droit fondamental.",mr. speaker march 2    minister international development la francophonie    say sexual reproductive health right human right,Positive,Positive,0.71894526,Positive,Positive,0.79392922,3.5636363636363635,5.0,0.6276431982157998
329,2017-03-08,2017 03 08 8,https://youtu.be/vQDqkBvBf3Q,42M 5S,"Mme Anne Minh-Thu Quach (Salaberry—Suroît, NPD)",1,NDP,10.08," Out of 4,000 runaways at youth centres in Quebec, 76% are girls, and 30% of them have been sexually exploited or exposed to prostitution. ","Sur 4 000 fugues survenues dans les centres jeunesse du Québec, 76 % ont été faites par des filles, et 30 % d'entre elles sont exploitées sexuellement ou ont été exposées à la prostitution.","   out 4,000 runaway youth centre quebec 76 girl 30 sexually exploit expose prostitution   ",Negative,Negative,-0.71325803,Negative,Positive,0.54429442,3.181818181818182,3.75,0.31771796419103987
